NIRF_Rank,Name,Faculty,Expenditure,Graduates,Scopus,Rfunding,theta,eff_rank,Student/Scopus
8,IIT Delhi,27,50.349446,46,68.66666667,9.179894,0.916672848,44,0.669902913
9,IIT Roorkee,15,66.347069,57,65.33333333,1.33014,1,47.5,0.87244898
7,IIT Kharagpur,20,127.78689,81,56,0,0.808591087,43,1.446428571
17,IIT Kanpur,18,50.81,45,21.66666667,14.499537,0.447777136,9,2.076923077
5,IIT Bombay,22,45.031411,115,49.66666667,3900.981438,1,47.5,2.315436241
28,Anna University Chennai,18,24.460308,103,44.33333333,1.45,1,47.5,2.323308271
29,VIT Vellore,42,81.983317,149,63.66666667,0.665971,0.614710214,28,2.340314136
44,BIT Ranchi,19,50.695095,54,17,0,0.454049935,10,3.176470588
34,Jamia Millia Islamia,14,34.853567,54,9.666666667,0.6,0.571728706,21,5.586206896
49,"Aligarh Muslim University, Aligarh",17,36.839596,66,11.66666667,0,0.578856749,24,5.657142856
27,IIM Rohtak,34,213.091188,160,19.66666667,6.016285,0.625163046,32,8.135593219
2,IIM Bangalore,113,885.926011,402,48.66666667,57.739716,0.458415799,11,8.260273972
1,IIM Ahmedabad,128,2359.162165,436,49.66666667,495.618111,0.397582968,6,8.778523489
14,NIIE Mumbai,59,385.098307,262,29.33333333,6.315559,0.582966397,25,8.931818183
48,"Amity University, Noida",301,953.676547,301,32.66666667,78.220424,0.140103844,1,9.214285713
13,IIM Udaipur,27,449.010235,145,15.33333333,6.070703,0.615342341,29,9.456521741
33,PSG Coimbatore,34,9.35423,210,19.66666667,9.35423,1,47.5,10.6779661
3,IIM Calcultta,95,1733.460113,484,44,164.50825,0.57431468,23,11
25,IMI New Delhi,52,374.832937,254,22.33333333,27.635093,0.623672193,31,11.37313433
38,LPU Jalandhar,81,170.126099,435,35.33333333,18.200108,0.769201447,41,12.31132076
46,KLEF University Vaddeswaram,35,117.056359,144,11.33333333,0.35,0.563035448,20,12.70588236
21,IIM Raipur,46,185.532345,141,10.66666667,2.7,0.412887371,7,13.21875
20,IIM Kashipur,33,265.651105,115,8.333333333,14.146963,0.433709022,8,13.8
12,MDI Gurgaon,85,473.081411,343,24.33333333,39.255352,0.525957652,16,14.09589041
42,Punjab University Chandigarh,25,65.46727,181,12.66666667,0.9616,1,47.5,14.28947368
4,IIM Lucknow,87,1173.997552,442,29.33333333,4.694387,0.571782329,22,15.06818182
6,IIM Kozhikode,75,387.085247,347,22.66666667,71.982424,0.605846575,26,15.30882353
31,IMT Ghaziabad,126,676.408959,528,30.33333333,5.0166,0.5437324,19,17.40659341
39,BHU Varanasi,28,52.793046,135,7.666666667,0.5,0.698023664,37,17.60869565
15,IIM Tirchy,52,205.786441,107,6,6.903204,0.275729737,2,17.83333333
11,IIM Indore,100,698.010577,611,34,169.412685,0.7679148,40,17.97058824
23,IIFT New Delhi,43,447.087813,260,13.66666667,129.957,0.712960339,38,19.02439024
30,"KIIT, Bhubaneshwar",72,238.307334,239,12,501.8105,0.461377497,12,19.91666667
10,XLRI Jamshedpur,82,993.86,358,16,76.588,0.496351846,13,22.375
18,SIBM Pune,60,369.049708,180,8,16.663214,0.383003795,4,22.5
16,Great Lakes Chennai,25,523.94219,119,5,26.887744,0.502860945,14,23.8
22,IFCAI Hyderabad,177,836.425005,1067,31.33333333,12.51,0.793452811,42,34.05319149
37,Fore New Delhi,38,286.871665,189,5.333333333,3.06,0.615792256,30,35.4375
24,NMIMS Mumbai,124,429.662416,581,15,75.88871,0.635420583,33,38.73333333
26,IIM Shillong,28,240.998745,155,4,3.727695,0.670514471,36,38.75
45,BIMT Noida,62,359.797065,246,6.333333333,8.403825,0.510077391,15,38.84210527
36,Xavier University Bhubaneshwar,59,1025.203173,575,12.66666667,13.745375,1,47.5,45.39473683
19,SP Jain Mumbai,77,372.006578,227,4.666666667,19.985107,0.387433957,5,48.64285714
40,IIM Ranchi,40,223.58688,165,3,4.802936,0.532748939,17,55
41,IIFM Bhopal,32,190.291604,79,1.333333333,49.794923,0.318419089,3,59.25000001
35,IFMR Satyavedu,32,303.562018,179,3,5.6,0.665555303,35,59.66666667
43,Institute of Rural Management Anand,33,293.956166,167,2.666666667,43.478033,0.610752737,27,62.62499999
47,"Lal Bahadur Shastri Institute of Management, Delhi",61,177.95777,240,2.333333333,4.6787,0.539729086,18,102.8571429
32,LIBA Chennai,21,125.483015,120,1,2.582,0.731754036,39,120
50,IMED Pune,48,89.704882,212,0,0.75625,0.640122878,34,#DIV/0!
,,,,,,,,,
,,,,,,,,,
,Spearman's Correl,,,,,,,,
,0.010765353,,,,,,,,
